year,gcftotalmill,NominalGDPUSDmill,GDPreal2000usd,GDPreal2000usdcapita,centrgovexpendreal2000usdmill,prisonerstotal,netmigration,goldonzas,wooltonnes,importUSDreal2000mill,StudentTertiary,studentTOTAL
1879,1.274608,2877,3305,6514,461,698,18723,287464,28.12276039,600.585146,240,89065
1880,1.257082,2692,3092,5851,392,703,7231,305248,30.39072493,634.764527,211,97104
1881,0.99954,2927,3362,6169,409,641,1616,269561,26.76198166,602.784633,239,97642
1882,1.039308,3012,3460,6158,370,578,3489,254204,29.48353911,638.936333,279,101383
1883,1.16282,2999,3444,5888,383,567,10029,248374,30.84431784,705.971042,361,108399
1884,1.105844,3060,3514,5776,405,560,9321,229946,36.74102566,736.485197,419,114728
1885,1.071016,3284,3772,6091,449,531,4504,237371,39.46258312,738.101152,442,119658
1886,1.156474,3290,3778,5985,471,558,1064,227079,41.27695476,724.856298,490,124019
1887,1.12723,3372,3873,6001,516,633,977,203869,40.36976894,8042.914672,588,129797
1888,0.768,3427,3936,6062,497,605,-9175,201219,37.64821148,876.867156,662,131872
1889,0.703844,3472,3988,6061,514,611,214,203211,46.26647676,1123.405199,588,134169
1890,0.66169,3633,4173,6252,532,517,-1782,193193,46.72006967,1198.501539,596,136575
1891,0.723176,3718,4271,6317,527,494,-3198,251996,48.0808484,1158.691697,705,138840
1892,0.73438,3768,4328,6251,567,433,4958,238079,53.52396331,1223.867108,695,142177
1893,0.852752,3895,4474,6264,554,463,10412,226811,49.89522004,1119.417382,680,144686
1894,0.684514,3935,4520,6207,585,483,2253,221615,65.31737896,1213.082588,680,147501
1895,0.690228,3874,4450,6007,581,531,895,293491,52.61677749,1137.627003,742,150502
1896,0.680736,4091,4699,6232,561,493,1472,263694,58.51348532,1199.237605,677,151169
1897,1.117176,4445,5106,6640,583,623,2752,251645,61.68863568,1262.323018,653,152947
1898,1.143684,4517,5188,6623,590,533,2696,280175,67.58534351,1340.924886,667,152823
1899,1.124174,4651,5343,6709,644,508,1887,389558,66.67815769,1584.300815,766,153249
1900,1.506808,4866,5589,6916,664,527,1831,373616,63.95660023,1722.075818,805,153032
1901,1.78903,5157,5923,7129,667,661,6522,455561,66.67815769,1574.284071,783,154365
1902,1.629614,5270,6053,7113,705,602,7992,508045,72.57486551,1629.781393,864,157086
1903,2.928772,5696,6542,7472,744,688,11275,533314,70.30690096,1797.801145,862,159628
1904,2.705043,6085,6989,7760,775,701,10355,520320,65.77097187,1769.823074,971,163013
1905,2.96285,6201,7123,7695,781,760,9302,520486,63.50300732,1836.139808,1153,166309
1906,3.560887,6778,7785,8139,826,833,12848,563843,69.85330805,2093.221814,1332,168889
1907,3.621908,7357,8450,8647,886,791,5730,508210,78.01798042,2293.279936,1325,171401
1908,4.440097,7555,8678,8606,937,815,14261,506423,73.93564424,1837.527414,1634,176691
1909,4.490807,7177,8243,7998,1002,877,4719,506371,86.18265279,2234.82497,1846,183965
1910,4.578759,7505,8620,8206,1015,843,3408,478288,92.53295352,2499.443279,1862,189863
1911,5.450669,8364,9607,8935,1046,802,4200,455226,76.65720169,2123.238001,1900,197486
1912,4.965088,8642,9926,9003,1124,821,8927,343163,85.27546697,2336.587636,2228,203591
1913,4.570796,8486,9747,8591,1172,834,14219,376161,84.82187406,2407.642119,2318,210584
1914,4.619802,8644,9929,8665,1236,981,5140,227954,99.79044008,2738.041883,2257,219088
1915,4.25279,8822,10133,8791,1214,941,3075,422825,89.35780316,3077.24453,2039,224458
1916,3.067419,8838,10151,8824,1210,834,636,292620,84.36828116,3110.260685,1985,228912
1917,2.79715,8734,10032,8743,1204,954,1780,218624,80.73953788,2699.956297,1977,234332
1918,2.789322,8533,9802,8463,1150,1005,246,11987,49.44162713,2168.775378,2226,241121
1919,4.198886,8668,9956,8113,1322,852,1054,320210,124.2844572,3821.891258,3060,238785
1920,6.725355,9636,11068,8801,1483,996,11138,212973,73.48205133,2891.172082,3822,244726
1921,8.371201,10226,11745,9086,1696,1044,13323,149595,72.1212726,2710.775492,4123,256239
1922,8.546068,9628,11059,8385,1887,1052,6844,131848,146.0569168,2833.698542,3958,265013
1923,8.327235,9570,10992,8185,1799,1141,6820,169512,98.88325426,3148.42129,4202,269983
1924,10.480711,10178,11691,8531,1734,1197,9222,133631,93.44013934,3482.53234,4236,272890
1925,12.501186,10451,12004,8566,1817,1284,12674,114696,93.44013934,3663.858273,4442,274778
1926,11.645131,10720,12313,8613,1562,1388,11860,125777,96.61528971,3002.356862,4653,282023
1927,11.016451,10218,11736,8093,1615,1483,2428,130171,100.244033,3216.379827,4878,286008
1928,10.032835,10273,11800,8044,1655,1435,443,118755,102.9655904,3685.545756,4802,286074
1929,11.682344,11204,12869,8663,1605,1342,2796,116848,106.5943337,3643.099305,4623,287055
1930,12.40041,11373,13064,8670,1727,1523,4238,133749,89.35780316,3079.956491,5956,289879
1931,10.010744,10768,12368,8122,1814,1614,-1409,139974,96.1616968,2566.401965,6034,291554
1932,7.46087,10006,11493,7489,2044,1522,-3331,167784,107.9551124,2928.56636,5902,278416
1933,7.378919,9980,11463,7409,1932,1410,-2391,164998,129.7275721,3512.847285,5249,270946
1934,8.261791,11139,12795,8210,1990,1199,-3376,157375,116.1197848,3893.488267,4721,270114
1935,9.440868,11324,13007,8286,1937,1112,-1240,168756,101.1512188,3680.081796,5247,269727
1936,12.982941,12385,14226,8978,2048,915,235,166210,142.4281736,4487.773477,6152,285877
1937,17.894199,14276,16398,10237,2254,790,1957,170715,127.9132005,4898.640219,6356,285611
1938,23.788329,14791,16989,10498,3119,777,2118,151162,122.9236785,4138.657047,6741,287054
1939,21.829886,15793,18140,11050,2940,895,6917,175667,125.6452359,3978.291412,7235,288528
1940,16.388491,16619,19088,11685,2994,863,1399,187343,136.0778728,4737.859185,6654,286293
1941,9.703668,17200,19757,12111,3068,988,191,174656,97.97606844,4204.146125,6467,285044
1942,6.559664,18081,20768,12691,3199,1304,730,165986,139.7066161,4915.351698,5755,284368
1943,8.329781,20361,23386,14242,2990,1024,295,149150,93.89373225,4221.437885,7468,290434
1944,10.67077,22055,25332,15112,3251,945,1368,142267,85.72905988,4569.430566,8664,300570
1945,13.275448,21607,24818,14358,3352,998,-787,128364,75.29642297,4662.037048,9580,309194
1946,13.674334,22243,25549,14318,3578,992,5277,119270,165.5614119,5785.469699,12568,324065
1947,20.227871,22338,25657,14074,5762,1088,3756,112260,170.097341,7191.554497,12925,335561
1948,22.385128,23045,26470,14216,5929,986,4462,93903,190.9626149,7597.999297,13255,343072
1949,26.136646,21894,25147,13291,5962,941,8011,84874,195.0449511,7385.603216,13321,355230
1950,25.357478,22982,26398,13694,5771,1043,7976,76527,178.7156063,8785.909462,13620,372156
1951,35.091177,26567,30515,15486,5804,1040,12407,75115,143.7889523,10628.10636,13132,389488
1952,46.038197,25105,28836,14243,6648,1083,22033,59151,198.6736943,9967.725095,12935,413589
1953,52.815633,25077,28804,13883,6644,1088,17511,38656,177.8084205,9205.777949,13095,437983
1954,59.417821,25832,29671,14006,6627,1196,7455,41713,178.2620134,8789.289737,13138,461224
1955,77.675586,27581,31680,14634,6537,1118,9176,26443,189.1482432,8423.502782,13178,475561
1956,90.856494,28605,32856,14873,6315,1362,10201,26063,183.68,9180.725208,13456,496863
1957,93.193177,29156,33489,14800,6840,1474,16532,30195,188.077,9203.094039,14257,515323
1958,95.732387,30671,35229,15212,6224,1642,10609,24981,207.527,8634.171882,15687,539322
1959,106.725103,31527,36212,15346,7476,1714,5063,36758,233.591,8044.09989,17258,564587
1960,111.195342,32767,37636,15659,9642,1777,950,33326,239.39,9571.262914,19718,563088
1961,122.17354,34780,39948,16231,8585,1818,15510,28294,232.878,8399.908827,20855,581793
1962,121.604815,35943,41284,16410,8820,1707,14871,21742,262.313,8410.919657,21878,602297
1963,138.688397,37044,42549,16576,8415,1765,13327,14206,255.454,8819.834471,23371,620888
1964,148.719479,39302,45142,17250,8834,1689,12186,8948,255.963,10101.93359,24951,639510
1965,162.229396,41704,47901,17982,12099,1653,11955,12136,237.061,9856.382708,27792,657785
1966,163.637441,44245,50820,18744,12796,1898,13338,8964,277.29,9897.97925,30487,678142
1967,158.9886,45923,52747,19216,13012,1983,-1155,10703,226.737,8868.654964,32824,700933
1968,166.859659,45527,52292,18858,13093,2023,-8294,8626,263.008,9389.09443,36402,724765
1969,187.552528,46497,53407,19046,12956,1967,-5884,10717,308.474,10933.38987,40067,737562
1970,212.130759,48845,56104,19671,13513,2365,8359,11283,303.331,11284.41943,43915,746517
1971,229.978015,50653,58180,20073,14996,2636,9526,9418,294.482,10636.2547,47284,755496
1972,231,51942,59661,20158,16342,2531,21704,13511,315.073,12155.34236,49688,765894
1973,241.792,54244,62305,20597,17894,2567,30851,11102,287.917,14657.065,50184,773347
1974,268.584881,58136,66775,21597,18833,2440,33808,4710,214.211,13091.91749,51126,783395
1975,348.176,60479,69466,22097,19872,2752,19914,2747,218.848,10140.62402,53487,798564
